logKMP,Ageing_Status,Water Type,Plastic Density,SSA,Particle Size,LogKow,E,S,A,B,V,PH,Salinity,Temperature
4.6,Pristine,F,0.95,2.088,154.35,4.99,1.33,0.92,0.06,0.0,1.3284,7.23,0.0036,25.0
4.26,Pristine,SF,0.95,2.088,154.35,5.86,1.49,0.99,0.0,0.0,1.4508,7.23,0.0036,25.0
4.66,Pristine,F,0.95,2.088,154.35,5.86,1.49,0.99,0.0,0.0,1.4508,7.23,0.0036,25.0
4.36,Pristine,SF,0.95,2.088,154.35,5.31,0.99,1.72,0.0,0.6,2.204,7.23,0.0036,25.0
4.43,Pristine,F,0.95,2.088,154.35,5.31,0.99,1.72,0.0,0.6,2.204,7.23,0.0036,25.0
3.92,Pristine,SF,0.95,0.66,132.5,3.93,1.03,0.86,0.0,0.0,1.0836,7.23,0.0036,25.0
4.24,Pristine,F,0.95,0.66,132.5,3.93,1.03,0.86,0.0,0.0,1.0836,7.23,0.0036,25.0
3.74,Pristine,SF,0.95,0.66,132.5,3.93,0.98,0.73,0.0,0.0,1.0836,7.23,0.0036,25.0
3.94,Pristine,F,0.95,0.66,132.5,3.93,0.98,0.73,0.0,0.0,1.0836,7.23,0.0036,25.0
4.31,Pristine,SF,0.95,0.66,132.5,3.93,0.98,0.81,0.0,0.0,1.0836,7.23,0.0036,25.0
4.44,Pristine,F,0.95,0.66,132.5,3.93,0.98,0.81,0.0,0.0,1.0836,7.23,0.0036,25.0
4.36,Pristine,SF,0.95,0.66,132.5,4.99,1.33,0.92,0.06,0.0,1.3284,7.23,0.0036,25.0
4.65,Pristine,F,0.95,0.66,132.5,4.99,1.33,0.92,0.06,0.0,1.3284,7.23,0.0036,25.0
4.38,Pristine,SF,0.95,0.66,132.5,5.86,1.49,0.99,0.0,0.0,1.4508,7.23,0.0036,25.0
4.65,Pristine,F,0.95,0.66,132.5,5.86,1.49,0.99,0.0,0.0,1.4508,7.23,0.0036,25.0
4.25,Pristine,SF,0.95,0.66,132.5,5.31,0.99,1.72,0.0,0.6,2.204,7.23,0.0036,25.0
4.78,Pristine,F,0.95,0.66,132.5,5.31,0.99,1.72,0.0,0.6,2.204,7.23,0.0036,25.0
3.9,Pristine,SF,0.95,5.791,301.0,3.93,1.03,0.86,0.0,0.0,1.0836,7.23,0.0036,25.0
4.21,Pristine,F,0.95,5.791,301.0,3.93,1.03,0.86,0.0,0.0,1.0836,7.23,0.0036,25.0
3.74,Pristine,SF,0.95,5.791,301.0,3.93,0.98,0.73,0.0,0.0,1.0836,7.23,0.0036,25.0
4.08,Pristine,F,0.95,5.791,301.0,3.93,0.98,0.73,0.0,0.0,1.0836,7.23,0.0036,25.0
4.21,Pristine,SF,0.95,5.791,301.0,3.93,0.98,0.81,0.0,0.0,1.0836,7.23,0.0036,25.0
4.45,Pristine,F,0.95,5.791,301.0,3.93,0.98,0.81,0.0,0.0,1.0836,7.23,0.0036,25.0
4.48,Pristine,SF,0.95,5.791,301.0,4.99,1.33,0.92,0.06,0.0,1.3284,7.23,0.0036,25.0
4.61,Pristine,F,0.95,5.791,301.0,4.99,1.33,0.92,0.06,0.0,1.3284,7.23,0.0036,25.0
4.55,Pristine,SF,0.95,5.791,301.0,5.86,1.49,0.99,0.0,0.0,1.4508,7.23,0.0036,25.0
4.64,Pristine,F,0.95,5.791,301.0,5.86,1.49,0.99,0.0,0.0,1.4508,7.23,0.0036,25.0
4.6,Pristine,SF,0.95,5.791,301.0,5.31,0.99,1.72,0.0,0.6,2.204,7.23,0.0036,25.0
4.81,Pristine,F,0.95,5.791,301.0,5.31,0.99,1.72,0.0,0.6,2.204,7.23,0.0036,25.0
1.16,Pristine,DI,1.38,0.864,150.0,2.16,0.92,1.08,0.67,0.21,0.8975,8.0,0.0,25.0
1.2,Pristine,S,1.38,0.864,150.0,2.16,0.92,1.08,0.67,0.21,0.8975,7.9,0.7,25.0
